  aguardando A9, L5… (19:20)
  aguardando A9, L5… (19:25)
  aguardando A9, L5… (19:30)
  aguardando A9, L5… (19:35)
  aguardando A9, L5… (19:40)
  aguardando A9, L5… (19:45)
  aguardando A9, L5… (19:50)
  aguardando A9, L5… (19:55)
  aguardando A9, L5… (20:00)
  aguardando A9, L5… (20:05)
  aguardando A9, L5… (20:10)
  aguardando A9, L5… (20:15)
  aguardando A9, L5… (20:20)
  aguardando A9, L5… (20:25)
  aguardando A9, L5… (20:30)
  aguardando A9, L5… (20:35)
  aguardando A9, L5… (20:40)
  aguardando A9, L5… (20:45)
  aguardando A9, L5… (20:50)
  aguardando A9, L5… (20:55)
  aguardando A9, L5… (21:00)
  aguardando A9, L5… (21:05)
  aguardando A9, L5… (21:10)
  aguardando A9, L5… (21:15)
  aguardando A9, L5… (21:20)
  aguardando A9, L5… (21:25)
  aguardando A9, L5… (21:30)
  aguardando A9, L5… (21:35)
  aguardando A9, L5… (21:40)
  aguardando A9, L5… (23:03)
  aguardando A9, L5… (23:08)
  aguardando A9, L5… (23:13)
  aguardando A9, L5… (23:18)
  aguardando A9, L5… (23:23)
  aguardando A9, L5… (23:28)
  aguardando A9, L5… (23:33)
  aguardando A9, L5… (23:38)
  aguardando A9, L5… (23:43)
