mapa,semente,n_pivos,tempo_precomp_ms,n_pivos_gerados,pivos_fora_maior_comp,primeiro_pivo_fora,frac_consultas_h_zero,h_medio
arena,42,10,0.551030,10,0,0,0.000000,32.315385
arena,42,20,1.059801,20,0,0,0.000000,32.330769
arena,42,50,2.840619,50,0,0,0.000000,32.330769
arena,42,100,5.510278,100,0,0,0.000000,32.361538
arena,123,10,0.562191,10,0,0,0.000000,32.330769
arena,123,20,1.006301,20,0,0,0.000000,32.315385
arena,123,50,2.564663,50,0,0,0.000000,32.361538
arena,123,100,5.232560,100,0,0,0.000000,32.361538
arena,456,10,0.566338,10,0,0,0.000000,32.315385
arena,456,20,1.012502,20,0,0,0.000000,32.346154
arena,456,50,2.540528,50,0,0,0.000000,32.346154
arena,456,100,5.415281,100,0,0,0.000000,32.376923
arena,789,10,0.565447,10,0,0,0.000000,32.146154
arena,789,20,1.002194,20,0,0,0.000000,32.330769
arena,789,50,2.552110,50,0,0,0.000000,32.376923
arena,789,100,5.161977,100,0,0,0.000000,32.346154
arena,1011,10,0.564505,10,0,0,0.000000,32.315385
arena,1011,20,1.005429,20,0,0,0.000000,32.300000
arena,1011,50,2.671783,50,0,0,0.000000,32.361538
arena,1011,100,5.311547,100,0,0,0.000000,32.361538
arena2,42,10,7.401202,10,0,0,0.001099,200.979121
arena2,42,20,15.586210,20,0,0,0.000000,204.504396
arena2,42,50,40.045413,50,0,0,0.000000,205.563736
arena2,42,100,81.736562,100,0,0,0.000000,205.794505
arena2,123,10,9.813161,10,0,0,0.001099,201.710989
arena2,123,20,15.534824,20,0,0,0.000000,204.368132
arena2,123,50,40.235549,50,0,0,0.000000,205.502198
arena2,123,100,81.440519,100,0,0,0.000000,205.787912
arena2,456,10,9.468636,10,0,0,0.001099,200.818681
arena2,456,20,16.484118,20,0,0,0.000000,204.128571
arena2,456,50,40.998034,50,0,0,0.000000,205.403297
arena2,456,100,82.421302,100,0,0,0.000000,205.761538
arena2,789,10,9.570427,10,0,0,0.001099,202.372527
arena2,789,20,15.802955,20,0,0,0.000000,204.304396
arena2,789,50,40.187709,50,0,0,0.000000,205.609890
arena2,789,100,81.331135,100,0,0,0.000000,205.798901
arena2,1011,10,9.486470,10,0,0,0.000000,201.381319
arena2,1011,20,15.597241,20,0,0,0.001099,204.225275
arena2,1011,50,40.478974,50,0,0,0.000000,205.357143
arena2,1011,100,80.746832,100,0,0,0.000000,205.774725
brc000d,42,10,8.776613,10,0,0,0.007059,202.969412
brc000d,42,20,15.036192,20,0,0,0.007059,203.995294
brc000d,42,50,37.663221,50,0,0,0.007059,204.272941
brc000d,42,100,77.331640,100,0,0,0.007059,204.548235
brc000d,123,10,8.572471,10,0,0,0.007059,203.585882
brc000d,123,20,15.062882,20,0,0,0.007059,203.792941
brc000d,123,50,8.496229,50,50,1,0.992941,0.129412
brc000d,123,100,77.931010,100,0,0,0.007059,204.475294
brc000d,456,10,8.560359,10,0,0,0.007059,203.785882
brc000d,456,20,14.933159,20,0,0,0.007059,203.985882
brc000d,456,50,37.752398,50,0,0,0.007059,204.430588
brc000d,456,100,77.977677,100,0,0,0.007059,204.531765
brc000d,789,10,8.888191,10,0,0,0.007059,201.503529
brc000d,789,20,14.963997,20,0,0,0.007059,203.948235
brc000d,789,50,8.484207,50,50,1,0.992941,0.129412
brc000d,789,100,78.092662,100,0,0,0.007059,204.571765
brc000d,1011,10,8.617556,10,0,0,0.007059,203.310588
brc000d,1011,20,14.915617,20,0,0,0.007059,204.070588
brc000d,1011,50,38.614358,50,0,0,0.007059,204.423529
brc000d,1011,100,77.384519,100,0,0,0.007059,204.515294
brc100d,42,10,16.319080,10,0,0,0.000735,330.041176
brc100d,42,20,22.601451,20,0,0,0.000000,331.627941
brc100d,42,50,65.884144,50,0,0,0.000735,333.261765
brc100d,42,100,189.891440,100,0,0,0.000735,333.517647
brc100d,123,10,21.660012,10,0,0,0.000735,330.439706
brc100d,123,20,22.307942,20,0,0,0.000735,332.232353
brc100d,123,50,65.785149,50,0,0,0.000735,333.170588
brc100d,123,100,189.724017,100,0,0,0.000000,333.569118
brc100d,456,10,21.079416,10,0,0,0.000735,329.907353
brc100d,456,20,22.287124,20,0,0,0.000735,332.163235
brc100d,456,50,65.846895,50,0,0,0.000000,333.200000
brc100d,456,100,186.628761,100,0,0,0.000735,333.539706
brc100d,789,10,21.697021,10,0,0,0.000735,328.895588
brc100d,789,20,22.812285,20,0,0,0.000000,331.044118
brc100d,789,50,65.117282,50,0,0,0.000735,333.145588
brc100d,789,100,185.131433,100,0,0,0.000000,333.476471
brc100d,1011,10,21.790576,10,0,0,0.000735,330.167647
brc100d,1011,20,22.446281,20,0,0,0.000735,331.872059
brc100d,1011,50,65.872422,50,0,0,0.000735,333.169118
brc100d,1011,100,189.028967,100,0,0,0.000735,333.519118
brc101d,42,10,20.733700,10,0,0,0.000637,379.392357
brc101d,42,20,21.415284,20,0,0,0.000637,379.978344
brc101d,42,50,62.843673,50,0,0,0.000000,380.617834
