mapa,semente,padrao,nivel,n_pivos,pivos_iguais,celulas_comparadas,celulas_diferentes,frac_diferentes,viraram_inalcancaveis,dist_max_aumento
arena,42,Radial,0.1,10,1,20540,8656,0.421422,4024,40
arena,42,Radial,0.1,20,1,41080,16018,0.389922,6213,44
arena,42,Radial,0.1,50,1,102700,42815,0.416894,20119,40
arena,42,Radial,0.1,100,1,205400,83187,0.405,31066,40
arena,42,Radial,0.2,10,1,20540,14127,0.68778,6112,48
arena,42,Radial,0.2,20,1,41080,28605,0.696324,12222,52
arena,42,Radial,0.2,50,1,102700,72445,0.705404,35362,48
arena,42,Radial,0.2,100,1,205400,142097,0.691806,65913,48
arena,42,Radial,0.3,10,1,20540,17023,0.828773,12249,64
arena,42,Radial,0.3,20,1,41080,35786,0.87113,28241,68
arena,42,Radial,0.3,50,1,102700,88008,0.856943,70555,58
arena,42,Radial,0.3,100,1,205400,174771,0.850881,134826,64
arena,42,Linear,0.1,10,1,20540,17090,0.832035,14096,44
arena,42,Linear,0.1,20,1,41080,33988,0.827361,27246,62
arena,42,Linear,0.1,50,1,102700,85585,0.83335,68378,62
arena,42,Linear,0.1,100,1,205400,171569,0.835292,135989,64
arena,42,Linear,0.2,10,1,20540,18948,0.922493,17859,44
arena,42,Linear,0.2,20,1,41080,38307,0.932498,36518,42
arena,42,Linear,0.2,50,1,102700,96349,0.93816,92163,44
arena,42,Linear,0.2,100,1,205400,191886,0.934206,184509,44
arena,42,Linear,0.3,10,1,20540,19834,0.965628,19120,30
arena,42,Linear,0.3,20,1,41080,39516,0.961928,38046,38
arena,42,Linear,0.3,50,1,102700,99035,0.964314,96441,38
arena,42,Linear,0.3,100,1,205400,198003,0.963987,192982,38
arena,42,Sparse,0.1,10,1,20540,7786,0.379065,2170,30
arena,42,Sparse,0.1,20,1,41080,13974,0.340166,4340,30
arena,42,Sparse,0.1,50,1,102700,37452,0.364674,10846,32
arena,42,Sparse,0.1,100,1,205400,81781,0.398155,23518,34
arena,42,Sparse,0.2,10,1,20540,14591,0.71037,4809,82
arena,42,Sparse,0.2,20,1,41080,29596,0.720448,12761,78
arena,42,Sparse,0.2,50,1,102700,74496,0.725375,27180,88
arena,42,Sparse,0.2,100,1,205400,152756,0.7437,59053,88
arena,42,Sparse,0.3,10,1,20540,18353,0.893525,12878,114
arena,42,Sparse,0.3,20,1,41080,36184,0.880818,24937,106
arena,42,Sparse,0.3,50,1,102700,91124,0.887283,66946,110
arena,42,Sparse,0.3,100,1,205400,183122,0.891538,127544,114
