mapa,semente,padrao,nivel,n_pivos,n_instancias,exp_orig,exp_deg_fresco,exp_deg_congelado,delta_fresco,delta_congelado
arena,42,Radial,0.1,10,32,28.7188,33.4062,58.125,1.1632,2.0239
arena,42,Radial,0.1,20,32,28.9062,33.4375,58.3125,1.1568,2.0173
arena,42,Radial,0.1,50,32,28.2812,30.5938,57.9062,1.0818,2.0475
arena,42,Radial,0.1,100,32,28.5938,30.0625,58.0938,1.0514,2.0317
arena,42,Radial,0.2,10,32,28.7188,40.375,87.5938,1.4059,3.0501
arena,42,Radial,0.2,20,32,28.9062,37.0938,87.6875,1.2832,3.0335
arena,42,Radial,0.2,50,32,28.2812,34.125,86.625,1.2066,3.063
arena,42,Radial,0.2,100,32,28.5938,33.2188,86.6875,1.1617,3.0317
arena,42,Radial,0.3,10,32,28.7188,43.9375,109.125,1.5299,3.7998
arena,42,Radial,0.3,20,32,28.9062,45.0938,109.2188,1.56,3.7784
arena,42,Radial,0.3,50,32,28.2812,36.125,107.9062,1.2773,3.8155
arena,42,Radial,0.3,100,32,28.5938,34.6875,107.875,1.2131,3.7727
arena,42,Linear,0.1,10,9,10.4444,22.2222,40.8889,2.1277,3.9149
arena,42,Linear,0.1,20,9,10.4444,12.8889,40.8889,1.234,3.9149
arena,42,Linear,0.1,50,9,10.4444,12.8889,40.8889,1.234,3.9149
arena,42,Linear,0.1,100,9,10.4444,12.8889,40.8889,1.234,3.9149
arena,42,Linear,0.2,10,9,10.4444,37.1111,57.3333,3.5532,5.4894
arena,42,Linear,0.2,20,9,10.4444,24.2222,56.6667,2.3191,5.4255
arena,42,Linear,0.2,50,9,10.4444,17.7778,56.6667,1.7021,5.4255
arena,42,Linear,0.2,100,9,10.4444,16.2222,56.6667,1.5532,5.4255
arena,42,Linear,0.3,10,9,10.4444,32.6667,61.6667,3.1277,5.9043
arena,42,Linear,0.3,20,9,10.4444,26.7778,61.6667,2.5638,5.9043
arena,42,Linear,0.3,50,9,10.4444,20.5556,61.6667,1.9681,5.9043
arena,42,Linear,0.3,100,9,10.4444,18.2222,61.6667,1.7447,5.9043
arena,42,Sparse,0.1,10,30,35.9667,43.8333,83.2667,1.2187,2.3151
arena,42,Sparse,0.1,20,30,33.9333,40.6333,82.1,1.1974,2.4194
arena,42,Sparse,0.1,50,30,33.2333,36.8667,82.4,1.1093,2.4794
arena,42,Sparse,0.1,100,30,31.4333,32.6667,80.9,1.0392,2.5737
arena,42,Sparse,0.2,10,30,35.9667,42.4333,109.9,1.1798,3.0556
arena,42,Sparse,0.2,20,30,33.9333,42.1333,109.7333,1.2417,3.2338
arena,42,Sparse,0.2,50,30,33.2333,37.7667,109.8667,1.1364,3.3059
arena,42,Sparse,0.2,100,30,31.4333,33.6333,109.5333,1.07,3.4846
arena,42,Sparse,0.3,10,30,35.9667,54.6333,140.8667,1.519,3.9166
arena,42,Sparse,0.3,20,30,33.9333,50.7333,140.7333,1.4951,4.1473
arena,42,Sparse,0.3,50,30,33.2333,44.6,140.7,1.342,4.2337
arena,42,Sparse,0.3,100,30,31.4333,41.3,140.6667,1.3139,4.4751
arena,42,Organic,0.1,10,60,40.0833,46.7667,84.8167,1.1667,2.116
arena,42,Organic,0.1,20,60,37.7167,43.3833,83.5,1.1502,2.2139
arena,42,Organic,0.1,50,60,35.75,37.6667,81.35,1.0536,2.2755
arena,42,Organic,0.1,100,60,35.2833,36.95,81.1,1.0472,2.2985
arena,42,Organic,0.2,10,60,40.0833,63.3833,104.15,1.5813,2.5983
arena,42,Organic,0.2,20,60,37.7167,45.3667,103.3833,1.2028,2.7411
arena,42,Organic,0.2,50,60,35.75,38.1833,101.7333,1.0681,2.8457
arena,42,Organic,0.2,100,60,35.2833,36.9833,101.6667,1.0482,2.8814
arena,42,Organic,0.3,10,60,40.0833,71.2,153.6833,1.7763,3.8341
arena,42,Organic,0.3,20,60,37.7167,49.7333,152.4,1.3186,4.0407
arena,42,Organic,0.3,50,60,35.75,41.65,151.7667,1.165,4.2452
arena,42,Organic,0.3,100,60,35.2833,40.8833,151.6833,1.1587,4.299
arena,42,Stochastic,0.1,10,56,42.6429,49.5893,72.625,1.1629,1.7031
arena,42,Stochastic,0.1,20,56,40.2857,46.1964,70.5179,1.1467,1.7504
arena,42,Stochastic,0.1,50,56,37.4107,38.4286,67.7143,1.0272,1.81
arena,42,Stochastic,0.1,100,56,36.4286,37.1071,66.625,1.0186,1.8289
arena,42,Stochastic,0.2,10,56,42.6429,56.4464,103.1964,1.3237,2.42
arena,42,Stochastic,0.2,20,56,40.2857,47.0893,101.6964,1.1689,2.5244
arena,42,Stochastic,0.2,50,56,37.4107,40.1786,100.3214,1.074,2.6816
arena,42,Stochastic,0.2,100,56,36.4286,38.3036,99.2679,1.0515,2.725
arena,42,Stochastic,0.3,10,56,42.6429,67.9643,195.3393,1.5938,4.5808
arena,42,Stochastic,0.3,20,56,40.2857,62.7143,194.2143,1.5567,4.8209
arena,42,Stochastic,0.3,50,56,37.4107,47.4286,193.9286,1.2678,5.1838
arena,42,Stochastic,0.3,100,56,36.4286,45.1786,193.3393,1.2402,5.3074
arena2,42,Radial,0.1,10,145,238.0207,459.1448,242.8,1.929,1.0201
arena2,42,Radial,0.1,20,145,158.3034,178.2897,169.2345,1.1263,1.0691
arena2,42,Radial,0.1,50,145,111.2207,124.2414,123.0552,1.1171,1.1064
arena2,42,Radial,0.1,100,145,99.6966,100.6,112.0828,1.0091,1.1242
arena2,42,Radial,0.2,10,145,238.0207,422.0414,701.4138,1.7731,2.9469
arena2,42,Radial,0.2,20,145,158.3034,237.7517,652.131,1.5019,4.1195
arena2,42,Radial,0.2,50,145,111.2207,139.0483,601.7172,1.2502,5.4101
arena2,42,Radial,0.2,100,145,99.6966,103.2897,594.5379,1.036,5.9635
arena2,42,Radial,0.3,10,145,238.0207,537.3103,1415.6759,2.2574,5.9477
arena2,42,Radial,0.3,20,145,158.3034,384.869,1352.4621,2.4312,8.5435
arena2,42,Radial,0.3,50,145,111.2207,159.5793,1324.9517,1.4348,11.9128
arena2,42,Radial,0.3,100,145,99.6966,125.731,1314.1724,1.2611,13.1817
arena2,42,Linear,0.1,10,5,5.6,33.6,5.4,6.0,0.9643
arena2,42,Linear,0.1,20,5,4.4,13.2,4.4,3.0,1.0
arena2,42,Linear,0.1,50,5,4.4,5.8,4.4,1.3182,1.0
arena2,42,Linear,0.1,100,5,4.4,4.8,4.4,1.0909,1.0
arena2,42,Linear,0.2,10,5,5.6,33.6,5.4,6.0,0.9643
arena2,42,Linear,0.2,20,5,4.4,33.6,4.4,7.6364,1.0
arena2,42,Linear,0.2,50,5,4.4,18.2,4.4,4.1364,1.0
arena2,42,Linear,0.2,100,5,4.4,8.4,4.4,1.9091,1.0
arena2,42,Linear,0.3,10,5,5.6,31.4,5.4,5.6071,0.9643
arena2,42,Linear,0.3,20,5,4.4,31.4,4.4,7.1364,1.0
arena2,42,Linear,0.3,50,5,4.4,28.6,4.4,6.5,1.0
arena2,42,Linear,0.3,100,5,4.4,10.4,4.4,2.3636,1.0
arena2,42,Sparse,0.1,10,63,132.0476,259.4762,325.3968,1.965,2.4642
arena2,42,Sparse,0.1,20,63,97.0317,133.7937,287.746,1.3789,2.9655
arena2,42,Sparse,0.1,50,63,77.7302,85.7143,261.6984,1.1027,3.3668
arena2,42,Sparse,0.1,100,63,68.2381,75.7619,244.3492,1.1103,3.5808
arena2,42,Sparse,0.2,10,63,132.0476,299.381,398.1746,2.2672,3.0154
arena2,42,Sparse,0.2,20,63,97.0317,146.1746,370.8413,1.5065,3.8219
arena2,42,Sparse,0.2,50,63,77.7302,102.8571,348.9365,1.3233,4.4891
arena2,42,Sparse,0.2,100,63,68.2381,82.6349,334.6032,1.211,4.9035
arena2,42,Sparse,0.3,10,63,132.0476,310.5556,338.6508,2.3518,2.5646
arena2,42,Sparse,0.3,20,63,97.0317,163.4762,311.127,1.6848,3.2064
arena2,42,Sparse,0.3,50,63,77.7302,126.0794,290.0794,1.622,3.7319
arena2,42,Sparse,0.3,100,63,68.2381,86.3333,276.6984,1.2652,4.0549
arena2,42,Organic,0.1,10,45,63.0889,160.2,121.8,2.5393,1.9306
arena2,42,Organic,0.1,20,45,63.7778,149.2,121.9111,2.3394,1.9115
arena2,42,Organic,0.1,50,45,39.3111,66.0889,98.0222,1.6812,2.4935
arena2,42,Organic,0.1,100,45,38.5556,48.2667,97.2444,1.2519,2.5222
arena2,42,Organic,0.2,10,45,63.0889,195.4889,121.3778,3.0986,1.9239
arena2,42,Organic,0.2,20,45,63.7778,171.6,121.2667,2.6906,1.9014
arena2,42,Organic,0.2,50,45,39.3111,59.0,97.6,1.5008,2.4828
arena2,42,Organic,0.2,100,45,38.5556,54.7556,96.8,1.4202,2.5107
arena2,42,Organic,0.3,10,45,63.0889,239.0,129.9111,3.7883,2.0592
arena2,42,Organic,0.3,20,45,63.7778,194.4444,129.7556,3.0488,2.0345
arena2,42,Organic,0.3,50,45,39.3111,81.5556,106.0889,2.0746,2.6987
arena2,42,Organic,0.3,100,45,38.5556,52.1333,105.3778,1.3522,2.7331
arena2,42,Stochastic,0.1,10,205,256.0439,307.7415,629.7659,1.2019,2.4596
arena2,42,Stochastic,0.1,20,205,162.9756,223.0488,537.6244,1.3686,3.2988
arena2,42,Stochastic,0.1,50,205,130.2585,166.4195,505.7659,1.2776,3.8828
arena2,42,Stochastic,0.1,100,205,120.1854,138.2829,497.0439,1.1506,4.1356
arena2,42,Stochastic,0.2,10,205,256.0439,476.7951,1008.1463,1.8622,3.9374
arena2,42,Stochastic,0.2,20,205,162.9756,338.8439,920.8244,2.0791,5.6501
arena2,42,Stochastic,0.2,50,205,130.2585,196.3122,889.8829,1.5071,6.8317
arena2,42,Stochastic,0.2,100,205,120.1854,159.0976,882.8098,1.3238,7.3454
arena2,42,Stochastic,0.3,10,205,256.0439,580.5659,1678.2098,2.2674,6.5544
arena2,42,Stochastic,0.3,20,205,162.9756,474.1415,1635.1073,2.9093,10.0328
arena2,42,Stochastic,0.3,50,205,130.2585,281.6927,1612.1707,2.1626,12.3767
arena2,42,Stochastic,0.3,100,205,120.1854,218.4098,1607.6049,1.8173,13.376
brc000d,42,Radial,0.1,10,296,308.0743,639.4493,1341.2162,2.0756,4.3535
brc000d,42,Radial,0.1,20,296,213.1757,346.8885,1277.2432,1.6272,5.9915
brc000d,42,Radial,0.1,50,296,186.8007,213.8074,1259.4426,1.1446,6.7422
brc000d,42,Radial,0.1,100,296,165.4527,178.3649,1242.7568,1.078,7.5113
brc000d,42,Radial,0.2,10,296,308.0743,1384.4223,1414.2466,4.4938,4.5906
