mapa,run_seed,populacao_inicial,n_geracoes,tempo_sintese_ms,formula_string,fitness_final,ast_size,ast_depth
arena,1,80,100,26286.415,"(+ (sqr deltaY) (sqr deltaX))",1.135225,5,3
arena2,1,80,100,1407604.536,"(sqr (+ (+ deltaX deltaY) (+ (sqrt (sqrt deltaX)) (sqrt (* (max deltaY (+ (+ deltaX 3.4) (sqrt (* (* (max (sqr (max (neg deltaY) 9.0)) (+ (+ deltaY deltaX) (sqrt (* (+ (+ (min deltaX deltaX) (neg 8.4)) (- (sqrt 8.6) deltaY)) (+ (max 6.9 (sqr (/ 8.4 6.0))) (sqrt 8.6)))))) (/ (abs deltaX) deltaY)) (sqrt deltaY))))) (max deltaY (max deltaY (sqr (abs 6.0)))))))))",4.723952,65,19
brc000d,1,80,100,234408,"(abs (* (sqrt (+ (sqr (max (+ deltaX (abs (neg deltaX))) (abs deltaY))) (sqr deltaY))) (max (+ (+ (sqr (abs (neg deltaX))) (sqr (max (+ deltaX deltaX) (abs deltaY)))) (abs (+ (+ (max deltaX 5.8) (+ (sqr 9.7) (neg (* deltaX deltaX)))) (abs (* (sqrt deltaY) deltaY))))) deltaX)))",4.31044,48,11
brc100d,1,80,100,1.44644e+06,"(* (max deltaX (sqr 10.0)) (+ (sqr deltaY) (* (max (* (max deltaY deltaY) (sqrt (* deltaY (sqrt (sqr 1.2))))) (* (max (* (max deltaX (max deltaX (* deltaY (sqrt (sqr 1.2))))) (sqrt deltaX)) 1.2) (sqrt (sqr 1.2)))) (sqrt (sqrt (max (abs (sqrt deltaX)) deltaY))))))",2.79773,45,13
brc101d,1,80,100,1.07914e+06,"(* (abs (max (+ deltaY (sqrt deltaX)) deltaX)) (abs (+ (/ (+ 3.5 deltaY) (* (/ (sqrt 4.2) (sqr deltaY)) (+ (+ deltaY (sqrt (+ deltaY (sqrt (* deltaY (- 2.1 deltaX)))))) (sqrt (abs (max (+ deltaY (abs deltaY)) deltaX)))))) (sqr deltaX))))",8.40911,42,13
brc201d,1,80,100,954339,"(* (sqrt (* 6.9 (+ (* 2.2 (+ (sqr (+ deltaY 6.9)) (+ deltaY (sqr deltaX)))) (+ (neg (sqrt (* (+ (sqr (neg deltaX)) deltaX) (+ deltaX (sqr (neg deltaY)))))) (sqr deltaX))))) (+ (sqr (neg (max deltaX deltaY))) (sqr deltaX)))",2.42381,40,12
brc202d,1,80,100,7823656.041,"(* (sqr (max deltaY deltaX)) (abs (neg (max (sqr 8.2) deltaX))))",2.045988,11,6
brc203d,1,80,100,2891016.623,"(abs (+ (* (sqr 9.7) (+ (+ (sqr (neg (+ 1.9 deltaX))) (abs (neg (+ (* (sqr 9.7) (max deltaX deltaY)) (sqrt (sqrt (max deltaY (* (sqr (sqr (max (neg (neg (sqrt (+ deltaX deltaX)))) deltaY))) (abs (sqrt (max (max 3.0 deltaY) (* (sqr (sqr (max (neg (neg (sqrt deltaX))) (sqrt (+ 2.5 (sqr deltaY)))))) (abs (neg (+ (* (* (* (max 3.8 (abs deltaX)) 9.7) (neg (neg 3.8))) (max (neg (neg 3.8)) (abs (neg (+ (neg (sqrt (neg (abs deltaX)))) deltaX))))) deltaX))))))))))))))) (sqr deltaX))) (sqrt deltaY)))",7.305009,87,29
den000d,1,80,100,2428718.470,"(sqr (max (min (+ (max (+ deltaX (abs 1.3)) deltaY) (/ (abs (abs deltaY)) 6.3)) (* (+ deltaX (abs (* (abs (neg 1.5)) 2.7))) (min (min deltaX 3.1) 3.1))) deltaY))",5.303529,30,10
den005d,1,80,100,2926795.073,"(sqrt (- (max (+ (- (+ deltaX (sqr (* (* (abs (* (neg 1.2) deltaX)) deltaX) (+ deltaY deltaX)))) (abs deltaX)) (sqr (* (* deltaX deltaX) (+ deltaY deltaX)))) (* (sqr (sqr 9.7)) (abs (neg (abs (neg (abs (+ (abs (neg (abs (+ (sqrt (sqr (sqr (neg (+ (* deltaX deltaX) (abs (+ (sqrt (sqr (sqr deltaY))) (* (abs (- 8.2 deltaX)) deltaX)))))))) (max deltaX deltaY))))) (* (sqr (- (neg deltaX) deltaX)) (* (abs (- 8.2 deltaX)) deltaX)))))))))) 9.7))",3.090619,79,25
den011d,1,80,100,798545.727,"(* (sqr (/ (+ deltaX deltaY) deltaY)) (abs (* (* deltaY (max deltaY deltaX)) (abs (* (neg (sqrt (* deltaY (abs (neg (sqrt deltaY)))))) (abs (neg (max (abs (- deltaY deltaX)) deltaX))))))))",2.711082,32,12
den012d,1,80,100,5287074.551,"(abs (+ (abs (+ (/ (+ (+ (/ (+ (abs (sqr (max deltaX (abs deltaY)))) (- deltaY deltaY)) 1.3) (sqr deltaX)) (+ deltaX deltaY)) 1.3) (abs (+ (sqr deltaX) deltaY)))) (abs (+ (sqr deltaX) deltaY))))",3.552954,35,14
lak506d,1,80,100,10876970.282,"(abs (+ (+ (* (sqr 2.3) (+ (* (sqr 7.3) (max deltaY deltaX)) (+ deltaY (sqr deltaX)))) (* (sqr (neg 7.3)) deltaY)) 7.3))",2.246843,23,8
arena,2,80,100,130053.454,"(sqr (+ (+ deltaX deltaY) (max deltaY deltaX)))",1.133463,8,4
