padrao,nivel,fresco,congelado,ganho_do_reprocessamento
Linear,0.1,2.862728476423637,1.2550271360940628,0.4384024354492568
Linear,0.2,3.7752935671820884,1.3653649953948537,0.3616579667509072
Linear,0.3,3.8490277657438146,1.5354314530426403,0.3989141015577793
Organic,0.1,1.3383424723627158,1.4963237861556544,1.11804251681114
Organic,0.2,1.8133112651982217,1.7072796596216384,0.9415259764765248
Organic,0.3,2.472798335987403,2.081585546381484,0.8417934920480666
Radial,0.1,1.1929483309210902,1.4628911581799824,1.2262820779928214
Radial,0.2,1.4162497413481616,2.1022111072891714,1.4843505674980932
Radial,0.3,1.6310755099200667,2.252991215584387,1.381291792980693
Sparse,0.1,1.2790149228074739,1.44567409610477,1.1303027590416808
Sparse,0.2,1.643616190314604,1.8823155559590639,1.1452281664363324
Sparse,0.3,1.9727681049768588,2.0317912494011523,1.0299189470244328
Stochastic,0.1,1.2605781553024997,2.89313056299523,2.2950822611240382
Stochastic,0.2,1.5950702602823201,4.341834258090173,2.722033233396056
Stochastic,0.3,2.6620886005635045,6.253641373245112,2.349148473841688
