padrao,nivel,mean,min,max
Linear,0.1,0.9640256764705883,0.484129,0.989884
Linear,0.2,0.9867216764705883,0.770581,0.998424
Linear,0.3,0.9934251911764707,0.889935,0.999295
Organic,0.1,0.7108533088235295,0.0,0.906726
Organic,0.2,0.8804082647058823,0.0,0.968301
Organic,0.3,0.9379011911764706,0.0,0.992779
Radial,0.1,0.5945181176470589,0.0,0.851877
Radial,0.2,0.8165037647058824,0.0,0.935887
Radial,0.3,0.9028456323529412,0.0,0.981313
Sparse,0.1,0.7189686029411765,0.340166,0.907779
Sparse,0.2,0.8928573970588235,0.71037,0.964327
Sparse,0.3,0.9575633823529413,0.880818,0.984884
Stochastic,0.1,0.8043805588235294,0.230968,0.960496
Stochastic,0.2,0.9361144852941177,0.504516,0.992005
Stochastic,0.3,0.9861446617647059,0.775742,0.999177
