mapa,sorteios,observados,frac_fora,esperados,n_componentes
arena,20,0,0.0,0.0,1
arena2,20,0,0.0,0.0,1
brc000d,20,2,0.05444877947726412,1.0889755895452824,2
brc100d,20,0,0.0,0.0,1
brc101d,20,0,0.0,0.0,1
brc201d,20,5,0.17855332423474357,3.5710664846948714,167
brc202d,20,0,0.0,0.0,1
brc203d,20,0,0.0,0.0,1
den000d,20,0,0.0,0.0,1
den005d,20,0,0.0,0.0,1
den011d,20,0,0.0,0.0,1
den012d,20,0,0.0,0.0,1
den500d,20,0,0.0,0.0,1
den501d,20,0,0.0,0.0,1
den602d,20,0,0.0,0.0,1
hrt201n,20,0,0.0,0.0,1
lak506d,20,0,0.0,0.0,1
