mapa,n,frac_inadmissivel,frac_manh_inadm,inflacao_mediana,inflacao_p99,inflacao_max,tamanho_ast,subotimalidade,categoria
arena,130,0.9923076923076923,0.0,19.152882205513784,35.682969790066565,36.035714285714285,3,0.0,Arena
arena2,910,1.0,0.0,141.69155821799905,328.7555572139303,374.71573604060916,29,0.15568085714285718,Arena
brc000d,850,1.0,0.0,201.81277677546333,670.483713918111,762.5571428571428,29,0.06219534117647063,Área aberta
brc100d,1360,1.0,0.0,758.3269602055698,4426.114586140402,5233.673913043478,13,0.10878947058823529,Área aberta
brc101d,1570,1.0,0.0,396.4618902439024,1241.326627609123,1322.0042313117067,42,0.05931089171974535,Área aberta
brc201d,2088,1.0,0.0,2682.111857986772,5073.255623906005,6710.953846153846,28,0.061563050766283434,Área aberta
brc202d,2549,0.9984307571596704,0.0,160.6979768786127,557.5571737156913,665.1142568250758,44,0.1793635661043549,Área aberta
brc203d,1288,1.0,0.0,459.88664662945473,1173.0233714817914,1302.0809523809523,52,0.08030229037267089,Área aberta
den000d,1308,0.9984709480122325,0.0,597.9607873851295,1367.3296676200514,1495.2978303747534,26,0.13192298929663604,Dungeon
den005d,1499,1.0,0.0,1381.3619047619047,3584.9142613324666,4399.113402061856,24,0.18899034022681782,Dungeon
den011d,750,1.0,0.0,269.6029589371981,698.8244269058488,1084.480198019802,20,0.06569353333333328,Dungeon
den012d,1180,1.0,0.0,363.9663754350348,1550.7585594667637,1794.5124555160141,28,0.12998384745762714,Dungeon
den500d,1599,1.0,0.0,212.0,1791.5751861028814,2711.324074074074,29,0.15183939337085683,Dungeon
den501d,1170,1.0,0.0,154.44360697244133,545.9896409995321,776.9172185430464,18,0.159812435897436,Dungeon
den602d,2660,1.0,0.0,1263.6037056282769,2748.088940743467,2873.91019172553,21,0.1398964285714286,Dungeon
hrt201n,1180,0.9983050847457627,0.0,114.39513398383457,335.7187037556056,424.2303370786517,9,0.1357602372881357,Natureza
lak506d,1110,1.0,0.0,154.53583916083915,509.7676136363648,2399.0,14,0.09002579279279277,Natureza
