mapa,Manhattan,Fórmula,Memória-10,Memória-20,Memória-50,Memória-100
arena,1.7440167431237463,1.3092201643796022,1.3708785139119175,1.2224524144786426,1.138435170408637,1.1118789470001975
arena2,1.2926160502909734,1.1684005681708263,2.3060674228160414,1.8630490947894338,1.5039662253775399,1.2957779362308073
brc000d,1.5369638760143876,1.3620002957848083,2.0645587709345197,1.6598235074157526,1.0933675696960115,1.2431474791016937
brc100d,1.159993674321164,1.0678050227635623,2.0956699568394153,1.8012990987981867,1.4937570775601063,1.3455952098359352
brc101d,1.1658523683133355,1.099407440250584,2.0565800218226746,1.6271936545828227,1.4092142201802487,1.2691124710828285
brc201d,1.2039084123535249,1.0752269825660652,1.4625337175364557,1.7111868660225484,1.0210076695072237,1.2237140565504194
brc202d,1.224636860489327,1.098707038258785,2.2060391080273924,1.8175462285927917,1.4944317037804633,1.3271290362937453
brc203d,1.3005915207489478,1.1523667922596774,2.8031069701017812,1.9983536051735264,1.5792980827531917,1.3681695656307409
den000d,1.2034901675983911,1.1068549987027714,2.6548252243359283,2.2321853644523033,1.6630831986362193,1.4441424994995897
den005d,1.129550978146831,1.0486314885854715,2.1838291120882793,1.820922798069726,1.3855110326174358,1.291826247321155
den011d,1.254688609044985,1.1252793594043995,2.2013074080877217,1.7749516031699604,1.5061695416020953,1.2760060457396456
den012d,1.338550296452875,1.1548192514416982,2.466137716294768,1.843636037723174,1.402869867268166,1.2393803858091483
den500d,1.204085148353733,1.1012881770523777,2.5364401881143386,1.966474999262239,1.5857576171122754,1.3678435994345641
den501d,1.229889190454856,1.0896160178431555,2.092056844122275,1.8703952892678752,1.5438506159533671,1.3010631996248399
den602d,1.1741896836713914,1.1018152305039537,2.6513587600800173,2.061778180440714,1.6545146396919501,1.4036833283380865
hrt201n,1.1575313689917694,1.0532888087898586,2.430764936882761,1.994172941045508,1.5727077509621878,1.35221014573378
lak506d,1.1519420655747843,1.1004617214822947,1.986753539422108,1.6675709394848628,1.3915963370687854,1.2629117466267321
