mapa,media,mediana,max,frac_otimo,categoria
arena,1.0,1.0,1.0,1.0,Arena
arena2,1.1556808571428572,1.11028,2.54217,0.18681318681318682,Arena
brc000d,1.0621953411764706,1.02724,2.42857,0.3776470588235294,Área aberta
brc100d,1.1087894705882353,1.053725,1.78049,0.2691176470588235,Área aberta
brc101d,1.0593108917197454,1.02439,2.06838,0.2611464968152866,Área aberta
brc201d,1.0615630507662834,1.04539,1.31579,0.15996168582375478,Área aberta
brc202d,1.1793635661043547,1.15668,1.92264,0.07493134562573558,Área aberta
brc203d,1.080302290372671,1.06198,1.59341,0.18400621118012422,Área aberta
den000d,1.131922989296636,1.0829849999999999,2.61658,0.21253822629969418,Dungeon
den005d,1.1889903402268178,1.16878,1.79144,0.13675783855903936,Dungeon
den011d,1.0656935333333333,1.03004,2.42857,0.36933333333333335,Dungeon
den012d,1.1299838474576271,1.078795,4.19283,0.2483050847457627,Dungeon
den500d,1.1518393933708568,1.12579,1.78571,0.14946841776110067,Dungeon
den501d,1.159812435897436,1.085865,3.37931,0.21794871794871795,Dungeon
den602d,1.1398964285714286,1.1254499999999998,2.02857,0.06578947368421052,Dungeon
hrt201n,1.1357602372881355,1.124445,1.82869,0.18389830508474575,Natureza
lak506d,1.0900257927927928,1.07214,1.55752,0.17117117117117117,Natureza
