mapa,precomp_100piv_ms,sintese_ms,sintese/precomp
arena,5.3263286,4140.47,777.3590987232744
arena2,81.53527,129281.0,1585.583760254918
brc000d,77.7435016,200854.0,2583.5471244068585
brc100d,188.0809236,828567.0,4405.375006357104
brc101d,180.10876960000002,847931.0,4707.882919211281
brc201d,111.596319,837941.0,7508.679564959486
brc202d,165.9924086,2024660.0,12197.304786864814
brc203d,70.60429859999999,351655.0,4980.645753486743
den000d,170.8118884,869623.0,5091.115191956394
den005d,59.4584796,248243.0,4175.064711880053
den011d,43.5339916,76361.5,1754.0661261119
den012d,94.6054716,166184.0,1756.6003021753343
den500d,94.8840424,513237.0,5409.0971149433235
den501d,84.51929720000001,243306.0,2878.703539432649
den602d,206.6018262,1629360.0,7886.474335530341
hrt201n,78.7783814,148671.0,1887.2055677955323
lak506d,44.3665452,121471.0,2737.896301197687
