mapa,tamanho,profundidade,fitness,tempo_sintese,S,speedup,subotimalidade
arena,5,3,1.13522,4140.47,2054,1.0704362467073356,0.0
arena2,44,14,4.88434,129281.0,24311,3.347302347421968,0.15568085714285718
brc000d,45,14,4.33295,200854.0,28963,3.0237644566730606,0.06219534117647063
brc100d,25,9,2.81014,828567.0,31023,2.703054024761972,0.10878947058823529
brc101d,62,17,8.55919,847931.0,29882,5.793333367563733,0.05931089171974535
brc201d,44,14,2.50303,837941.0,25645,2.529063403553633,0.061563050766283434
brc202d,62,21,1.953,2024660.0,43151,2.4828205850620577,0.1793635661043549
brc203d,78,26,7.26915,351655.0,20712,4.68152274615552,0.08030229037267089
den000d,37,15,5.82531,869623.0,58085,3.851120513509255,0.13192298929663604
den005d,39,14,3.15065,248243.0,17559,2.7985740129863985,0.18899034022681782
den011d,30,17,2.77961,76361.5,14506,2.444322575495155,0.06569353333333328
den012d,46,12,3.59564,166184.0,22682,2.436401364767427,0.12998384745762714
den500d,42,14,2.03294,513237.0,30072,2.137931004493029,0.15183939337085683
den501d,24,17,2.5714,243306.0,26453,2.507207377195523,0.159812435897436
den602d,34,11,5.79277,1629360.0,34617,4.445679375167218,0.1398964285714286
hrt201n,15,7,2.22671,148671.0,23652,2.139555027507354,0.1357602372881357
lak506d,24,8,2.19466,121471.0,13894,2.4322529444344254,0.09002579279279277
