mapa,tamanho,profundidade,n_operadores,n_terminais,usa_deltaX,usa_deltaY,n_deltaX,n_deltaY,n_constantes,max_constante,simetrica,tem_max_min,tem_div,tem_sqrt,fitness,tempo_ms,op_+,op_sqr,op_max,op_sqrt,op_abs,op_/,op_-,op_neg,op_*,op_min,categoria,penalidade,speedup_treino,penalidade_pct
arena,5,3,3,2,True,True,1,1,0,,True,False,False,False,1.13522,4140.47,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arena,0.0025,1.1377199999999998,0.21973772105614742
arena2,44,14,29,15,True,True,3,9,3,8.0,False,True,True,True,4.88434,129281.0,8.0,2,4.0,6.0,6.0,1.0,1.0,1.0,0.0,0.0,Arena,0.022,4.90634,0.44839941789602833
brc000d,45,14,29,16,True,True,9,6,1,5.3,False,True,False,True,4.33295,200854.0,7.0,4,5.0,6.0,3.0,0.0,3.0,1.0,0.0,0.0,Área aberta,0.0225,4.35545,0.5165941521541976
brc100d,25,9,13,12,True,True,5,4,3,6.7,False,True,True,True,2.81014,828567.0,6.0,1,2.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,Área aberta,0.0125,2.8226400000000003,0.44284783039990927
brc101d,62,17,42,20,True,True,12,5,3,6.9,False,True,True,True,8.55919,847931.0,9.0,14,4.0,3.0,2.0,1.0,2.0,4.0,0.0,3.0,Área aberta,0.031,8.59019,0.360876767568587
brc201d,44,14,28,16,True,True,6,6,4,8.9,False,True,False,True,2.50303,837941.0,6.0,2,3.0,3.0,5.0,0.0,0.0,3.0,6.0,0.0,Área aberta,0.022,2.5250299999999997,0.8712767769095813
brc202d,62,21,44,18,True,True,10,7,1,9.2,False,True,False,True,1.953,2024660.0,9.0,4,1.0,9.0,7.0,0.0,1.0,7.0,1.0,5.0,Área aberta,0.031,1.984,1.5625
brc203d,78,26,52,26,True,True,11,12,3,9.4,False,True,False,True,7.26915,351655.0,21.0,3,2.0,7.0,14.0,0.0,2.0,3.0,0.0,0.0,Área aberta,0.039,7.3081499999999995,0.5336507871349111
den000d,37,15,26,11,True,True,4,4,3,6.0,False,True,True,True,5.82531,869623.0,2.0,4,2.0,6.0,5.0,1.0,4.0,1.0,1.0,0.0,Dungeon,0.0185,5.84381,0.31657428971852264
den005d,39,14,24,15,True,True,2,7,6,9.1,False,True,False,True,3.15065,248243.0,10.0,6,1.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,Dungeon,0.0195,3.17015,0.6151128495497058
den011d,30,17,20,10,True,True,4,6,0,,False,True,False,True,2.77961,76361.5,5.0,2,4.0,1.0,3.0,0.0,0.0,5.0,0.0,0.0,Dungeon,0.015,2.79461,0.536747524699332
den012d,46,12,28,18,True,True,6,9,3,8.7,False,True,False,True,3.59564,166184.0,6.0,2,6.0,5.0,1.0,0.0,0.0,3.0,2.0,3.0,Dungeon,0.023,3.61864,0.6355979041849976
den500d,42,14,29,13,True,True,2,5,6,9.8,False,True,False,True,2.03294,513237.0,3.0,5,4.0,6.0,0.0,0.0,3.0,6.0,2.0,0.0,Dungeon,0.021,2.05394,1.0224251925567447
den501d,24,17,18,6,True,True,2,3,1,5.2,False,True,True,True,2.5714,243306.0,0.0,3,1.0,4.0,4.0,1.0,3.0,2.0,0.0,0.0,Dungeon,0.012,2.5834,0.46450414182859795
den602d,34,11,21,13,True,True,4,6,3,9.5,False,True,False,True,5.79277,1629360.0,3.0,6,1.0,1.0,1.0,0.0,4.0,1.0,4.0,0.0,Dungeon,0.017,5.80977,0.29261055084796816
hrt201n,15,7,9,6,True,True,2,3,1,6.2,False,True,True,True,2.22671,148671.0,2.0,1,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,Natureza,0.0075,2.23421,0.335689125015106
lak506d,24,8,14,10,True,True,4,4,2,5.8,False,True,False,True,2.19466,121471.0,6.0,4,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Natureza,0.012,2.20666,0.5438082894510256
