mapa,speedup_treino,speedup_medido,tamanho,gap
arena,1.1377199999999998,1.0704362467073356,5,1.0628563854219522
arena2,4.90634,3.347302347421968,44,1.4657594357374901
brc000d,4.35545,3.0237644566730606,45,1.4404065073217196
brc100d,2.8226400000000003,2.703054024761972,25,1.044241059979761
brc101d,8.59019,5.793333367563733,62,1.48277156776366
brc201d,2.5250299999999997,2.529063403553633,44,0.9984051789496594
brc202d,1.984,2.4828205850620577,62,0.7990911674958625
brc203d,7.3081499999999995,4.68152274615552,78,1.561062585032076
den000d,5.84381,3.851120513509255,37,1.5174310903802248
den005d,3.17015,2.7985740129863985,39,1.132773328591402
den011d,2.79461,2.444322575495155,30,1.1433065455503089
den012d,3.61864,2.436401364767427,46,1.4852396868302635
den500d,2.05394,2.137931004493029,42,0.9607138844441119
den501d,2.5834,2.507207377195523,24,1.030389437865209
den602d,5.80977,4.445679375167218,34,1.3068351335573933
hrt201n,2.23421,2.139555027507354,15,1.0442404945307353
lak506d,2.20666,2.4322529444344254,24,0.90724938993264
