mapa,n,formulas_distintas,fitness_min,fitness_max,fitness_cv,tam_min,tam_max,fitness_original,bate_com_original
arena,2,2,1.133463,1.135225,0.0010983635902782304,5,8,1.13522,True
arena2,1,1,4.723952,4.723952,,65,65,4.88434,False
brc000d,1,1,4.31044,4.31044,,48,48,4.33295,False
brc100d,1,1,2.79773,2.79773,,45,45,2.81014,False
brc101d,1,1,8.40911,8.40911,,42,42,8.55919,False
brc201d,1,1,2.42381,2.42381,,40,40,2.50303,False
brc202d,1,1,2.045988,2.045988,,11,11,1.953,False
brc203d,1,1,7.305009,7.305009,,87,87,7.26915,False
den000d,1,1,5.303529,5.303529,,30,30,5.82531,False
den005d,1,1,3.090619,3.090619,,79,79,3.15065,False
den011d,1,1,2.711082,2.711082,,32,32,2.77961,False
den012d,1,1,3.552954,3.552954,,35,35,3.59564,False
lak506d,1,1,2.246843,2.246843,,23,23,2.19466,False
