mapa,populacao_inicial,n_geracoes,tempo_sintese_ms,formula_string,fitness_final
arena,80,100,4140.47,"(+ (sqr deltaY) (sqr deltaX))",1.13522
arena,80,100,3938.43,"(+ (sqr deltaY) (sqr deltaX))",1.13522
arena2,80,100,129281,"(sqr (max (+ (sqrt (abs (abs (sqr (/ 3.2 (sqrt deltaY)))))) (max (+ (sqrt (+ (+ deltaY 8.0) deltaY)) (max (+ (sqrt (- (neg deltaY) (abs deltaX))) (max (+ (sqrt (abs (abs (sqrt deltaY)))) (+ deltaX 8.0)) deltaY)) deltaY)) (+ deltaX deltaY))) (abs deltaY)))",4.88434
brc000d,80,100,200854,"(sqr (- (+ (sqrt (sqr (sqrt (max (+ deltaY (max (max (+ deltaY deltaY) (+ deltaX deltaX)) deltaX)) deltaY)))) (abs (sqrt (sqr (max (+ (sqrt (- 5.3 (sqrt (neg deltaX)))) (abs (max (+ (sqrt deltaY) (abs (+ deltaX deltaX))) deltaY))) deltaX))))) (sqr (- deltaX deltaX))))",4.33295
brc100d,80,100,828567,"(* (+ (+ 5.5 (+ (max deltaY deltaX) (+ (sqrt (* deltaY (sqr deltaY))) (+ deltaX deltaX)))) 5.2) (max deltaX (+ deltaY (/ deltaX 6.7))))",2.81014
brc101d,80,100,847931,"(abs (+ (+ (sqr deltaY) (+ (sqr (min (sqr deltaX) deltaX)) (+ (sqr deltaX) (neg (sqrt deltaX))))) (+ (sqr (min (max (- deltaX (/ (sqr (sqr 6.9)) (sqrt (+ (sqr deltaY) (+ (sqr deltaX) (+ (sqr deltaX) (sqr (min (sqr (sqr 5.7)) deltaX)))))))) (abs (neg (neg deltaY)))) deltaX)) (+ 6.9 (sqr (neg (max (- deltaX (sqrt (max (max deltaY deltaX) deltaX))) deltaY)))))))",8.55919
brc201d,80,100,837941,"(abs (* (max deltaX (+ (+ deltaY (abs (neg 7.3))) (sqr (neg 6.3)))) (abs (* (+ 8.8 8.9) (+ (sqrt (max (* deltaY (sqrt (sqr (+ (neg deltaY) deltaX)))) (+ deltaY (* (sqrt (max (* deltaY (abs deltaY)) (* deltaX (abs deltaX)))) deltaX)))) deltaX)))))",2.50303
brc202d,80,100,2.02466e+06,"(sqr (+ (min deltaX (abs (+ (+ (neg (abs deltaX)) (sqrt (min deltaY (sqr (neg (abs (min (+ (+ (neg (abs deltaX)) (- deltaY deltaX)) (sqrt (max deltaX (sqr (sqrt deltaX))))) (abs (+ (+ (neg (abs (+ (neg (abs deltaX)) (sqrt (neg deltaY))))) (sqrt (min (* (sqrt deltaX) deltaX) (sqr (+ (min deltaY 9.2) (sqrt deltaX)))))) (sqrt deltaY)))))))))) (sqrt (neg deltaY))))) deltaY))",1.953
brc203d,80,100,351655,"(+ (abs deltaY) (+ deltaY (sqr (neg (+ (abs (+ (sqrt (+ (abs (+ (+ deltaX (sqrt deltaY)) deltaX)) (abs deltaY))) (+ (sqrt (+ (abs (+ (+ (- (+ deltaY (abs (neg 1.7))) (+ (abs (+ (sqrt (+ (abs (+ (+ (- (sqr (neg 9.4)) (sqrt 1.7)) (abs deltaY)) deltaX)) (abs deltaY))) (+ (sqrt (+ (abs (+ deltaY deltaY)) (abs deltaX))) deltaX))) (max deltaX deltaY))) deltaX) deltaX)) deltaY)) deltaX))) (abs (abs (max deltaX (sqrt (+ deltaX (sqr deltaY)))))))))))",7.26915
den000d,80,100,869623,"(abs (sqr (abs (sqrt (- (* deltaY (neg (sqr (- (sqrt 1.6) (sqrt (abs deltaX)))))) (sqr (+ (abs (- 3.1 deltaX)) (+ deltaY (max (max deltaY deltaY) (sqr (- (sqrt (/ 6.0 (sqrt deltaX))) (sqrt (abs deltaX)))))))))))))",5.82531
den005d,80,100,248243,"(+ (sqrt (* (max (sqr (sqr deltaX)) (abs (* (+ (min deltaY 6.0) (+ 9.1 deltaY)) (+ (sqrt (sqr (+ (sqr (abs (+ deltaY deltaY))) 9.1))) 3.7)))) (+ deltaX (+ 9.1 (+ 8.8 deltaY))))) (+ (sqr deltaY) (sqr deltaY)))",3.15065
den011d,80,100,76361.5,"(sqr (+ (sqrt (max (+ deltaY (+ deltaY (abs (max (neg (neg (sqr (+ (abs (max (+ deltaY (neg deltaX)) deltaX)) (abs deltaX))))) deltaY)))) (neg (neg deltaY)))) (max deltaY deltaX)))",2.77961
den012d,80,100,166184,"(sqr (+ (min (+ deltaX (sqrt deltaY)) (sqrt (* (neg (max deltaX (min deltaY (min deltaY 8.7)))) (+ (max (neg (max deltaY (+ (max deltaX deltaY) (sqrt deltaY)))) (neg (sqr 6.2))) (+ deltaX (sqrt deltaY)))))) (+ (max deltaX (sqrt deltaY)) (abs (max deltaY (* 1.3 deltaX))))))",3.59564
den500d,80,100,513237,"(sqr (- (max (- (- deltaX (neg (sqrt (max (+ (sqr 9.8) (max (+ (sqr 9.8) (sqrt deltaY)) (neg (neg (* 3.6 deltaY))))) 9.8)))) (neg (sqrt (max (+ (sqr 9.8) deltaY) (neg (sqr 4.1)))))) (* (sqrt (sqrt deltaY)) deltaY)) (neg (sqrt deltaX))))",2.03294
den501d,80,100,243306,"(sqr (abs (sqrt (sqr (abs (sqrt (sqr (abs (abs (- (sqrt (sqrt deltaX)) (neg (- deltaY (neg (max deltaX (- deltaY (/ deltaY 5.2))))))))))))))))",2.5714
den602d,80,100,1.62936e+06,"(+ (+ (* deltaX (abs deltaX)) (sqr deltaY)) (- (+ (sqr deltaY) (sqr deltaY)) (- (* deltaX (neg 5.7)) (sqr (max deltaX (sqrt (* 1.9 (- (sqr deltaY) (- (* deltaY 9.5) (sqr deltaY))))))))))",5.79277
hrt201n,80,100,148671,"(+ (abs (* (+ (/ deltaX (sqrt 6.2)) deltaY) deltaY)) (sqr (abs (max deltaX deltaY))))",2.22671
lak506d,80,100,121471,"(+ (sqr (+ (max (sqr 5.8) deltaX) deltaX)) (+ (+ deltaY deltaY) (sqr (+ (sqr 5.8) (max (+ (sqrt deltaY) (max deltaY deltaX)) deltaX)))))",2.19466
